"year","board_number","board_name","board_type","junior_kindergarten_enrolment","kindergarten_enrolment","grade_1_enrolment","grade_2_enrolment","grade_3_enrolment","grade_4_enrolment","grade_5_enrolment","grade_6_enrolment","grade_7_enrolment","grade_8_enrolment","total_enrolment"
"2024-2025","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",1705,1745,1960,2030,2215,2295,2415,2490,2475,2570,21900
"2024-2025","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",3330,3685,4140,4455,4725,4645,4805,4950,5140,5275,45150
"2024-2025","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",1800,1895,1920,2000,1995,2115,2010,2075,2010,2090,19910
"2024-2025","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3305,3650,3805,3930,3790,3755,3800,3865,3950,3885,37740
"2024-2025","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",910,1010,1095,1070,1105,1110,1040,1165,1105,1120,10730
"2024-2025","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",340,315,315,335,310,365,335,325,395,310,3345
"2024-2025","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",285,340,325,375,360,415,440,425,420,385,3780
"2024-2025","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2345,2530,2555,2650,2745,2705,2605,2700,2600,2525,25955
"2024-2025","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",240,285,275,285,300,300,280,295,315,300,2875
"2024-2025","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",90,80,90,110,80,70,85,85,85,110,895
"2024-2025","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",585,645,665,685,665,685,660,650,645,600,6485
"2024-2025","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1310,1410,1450,1510,1470,1595,1545,1480,1520,1550,14840
"2024-2025","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1245,1335,1305,1395,1485,1365,1415,1380,1440,1460,13830
"2024-2025","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1470,1610,1640,1745,1820,1835,1955,1885,1825,1770,17550
"2024-2025","B15199","Moose Factory Island DSAB","Public School Board",15,25,25,30,40,30,30,35,0,0,240
"2024-2025","B15202","Moosonee DSAB","Public School Board",10,25,25,20,30,20,25,25,25,25,230
"2024-2025","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",525,660,630,700,700,705,720,720,700,770,6835
"2024-2025","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1330,1510,1485,1530,1570,1595,1595,1605,1540,1605,15370
"2024-2025","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",190,185,180,215,210,245,225,225,205,215,2095
"2024-2025","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",135,145,175,200,240,200,240,215,200,210,1960
"2024-2025","B29041","Northwest CDSB","Cath Dist Sch Brd (E/F)",115,105,120,130,120,135,115,125,110,90,1170
"2024-2025","B67180","Ottawa CSB","Cath Dist Sch Brd (E/F)",2850,3100,3080,3210,3460,3475,3560,3665,4040,4040,34475
"2024-2025","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",4025,4695,4945,5155,5220,5135,5430,5445,5285,5335,50665
"2024-2025","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",9115,9945,10330,10580,10605,10560,10540,10970,11245,11360,105245
"2024-2025","B79910","Penetanguishene PSSB","Prot Sep Sch Brd (Sch Auth)",20,30,40,35,40,50,45,40,25,20,345
"2024-2025","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",875,945,960,955,980,1070,1125,1120,1145,1100,10285
"2024-2025","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",785,845,890,960,950,990,1025,1015,955,1030,9435
"2024-2025","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",105,125,150,145,140,155,150,160,165,185,1490
"2024-2025","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",330,380,330,375,370,420,380,415,365,380,3745
"2024-2025","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",530,590,630,640,645,640,640,645,645,625,6230
"2024-2025","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3510,3830,4005,4135,4220,4065,4240,4035,4060,4050,40140
"2024-2025","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1540,1650,1760,1735,1760,1775,1770,1750,1765,1755,17255
"2024-2025","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",640,650,605,615,670,640,620,680,660,700,6475
"2024-2025","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",330,395,410,450,510,500,510,540,585,535,4765
"2024-2025","B29076","Superior North CDSB","Cath Dist Sch Brd (E/F)",60,60,65,80,90,75,70,65,70,75,710
"2024-2025","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",60,45,60,75,60,70,70,55,65,70,625
"2024-2025","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",4955,5645,5760,5830,5950,6150,6105,6095,6260,6390,59130
"2024-2025","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",415,425,440,460,475,490,505,540,480,540,4765
"2024-2025","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",4925,5330,5515,5790,5960,6175,6305,6370,6490,6340,59200
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",14580,15740,16540,16710,16675,16645,16870,16725,16620,16520,163615
"2024-2025","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1015,1190,1170,1225,1260,1265,1175,1175,1200,1230,11905
"2024-2025","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",1735,1845,1920,1955,1955,1935,1985,2030,1945,1875,19180
"2024-2025","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2130,2320,2385,2415,2470,2435,2475,2465,2595,2535,24220
"2024-2025","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1865,1875,2000,1905,2050,2065,2080,1965,2055,1945,19815
"2024-2025","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",3750,4205,4500,4380,4485,4530,4575,4505,4545,4570,44040
"2024-2025","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",650,615,595,585,650,665,715,685,640,655,6455
"2024-2025","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1245,1390,1425,1455,1480,1490,1550,1470,1645,1600,14745
"2024-2025","B67075","York CDSB","Cath Dist Sch Brd (E/F)",2130,2330,2685,2785,3025,3035,3205,3435,3670,3690,30000
"2024-2025","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",5570,6660,7805,8420,8750,9025,9510,9495,10570,10025,85825
"2024-2025","N/A","Provincial Total",NA,120330,131895,138680,142220,145450,146690,148615,148985,151545,150980,1425385
